source_domain,metric_code,metric_role,rows,plants,mean,p05,p95,min_native_frequency_min,domain_shift_hint,recommended_use
agtrup_bluekolding_2min,CAPACITY_FACTOR,process,24000,1,59.218058291666665,32.61655,100.0,2.0,normal_range_prior,minute_level_control_simulation
agtrup_bluekolding_2min,COAGULANT_IN,chemical,24000,1,81.95403345833334,0.0,228.84279999999998,2.0,high_range_prior,minute_level_control_simulation
agtrup_bluekolding_2min,DO,reactor,24000,1,0.07714933333333333,0.0,0.54,2.0,high_range_prior,minute_level_control_simulation
agtrup_bluekolding_2min,FLOW,influent,24000,1,862.7143354166667,358.839,1771.0143499999995,2.0,high_range_prior,minute_level_control_simulation
agtrup_bluekolding_2min,NH3N,reactor,24000,1,1.3306691666666668,0.06,3.700499999999993,2.0,high_range_prior,minute_level_control_simulation
agtrup_bluekolding_2min,PAC,chemical,24000,1,7.332255541666667,0.007,41.102,2.0,high_range_prior,minute_level_control_simulation
agtrup_bluekolding_2min,PROCESS_PHASE_IN,process,24000,1,1.5459791666666667,1.0,2.0,2.0,normal_range_prior,minute_level_control_simulation
agtrup_bluekolding_2min,PROCESS_PHASE_OUT,process,24000,1,1.4968333333333332,1.0,2.0,2.0,normal_range_prior,minute_level_control_simulation
agtrup_bluekolding_2min,TEMP,reactor,24000,1,16.393153208333334,15.346,17.036,2.0,normal_range_prior,minute_level_control_simulation
agtrup_bluekolding_2min,TP,reactor,24000,1,0.6954362083333334,0.11,1.93,2.0,high_range_prior,minute_level_control_simulation
china_public_monitor,COD,effluent,311700,180,147.67768795131857,7.5,547.2,60.0,high_range_prior,public_distribution_and_shock_library
china_public_monitor,FLOW,effluent,2103,127,949.9832163575844,0.0,3951.612,60.0,high_range_prior,public_distribution_and_shock_library
china_public_monitor,NH3N,effluent,310548,168,17.570118054564833,0.0142,54.535,60.0,high_range_prior,public_distribution_and_shock_library
china_public_monitor,TN,effluent,225212,125,23.568140478016268,3.45,69.06,60.0,high_range_prior,public_distribution_and_shock_library
china_public_monitor,TP,effluent,224979,121,1.412194059992266,0.03,6.326,60.0,high_range_prior,public_distribution_and_shock_library
china_public_monitor,pH,effluent,201248,185,7.3947968936685085,6.7367,8.137765,60.0,normal_range_prior,public_distribution_and_shock_library
iwa_bsm1_dynamic_influent,ALK,influent,2690,2,7.0,7.0,7.0,15.000000479999827,normal_range_prior,high_frequency_dynamic_simulation
iwa_bsm1_dynamic_influent,BOD,influent,2690,2,91.03673116672863,55.332876600000006,127.24871324999985,15.000000479999827,normal_range_prior,high_frequency_dynamic_simulation
iwa_bsm1_dynamic_influent,COD,influent,2690,2,347.54417962081783,208.738216,496.75932,15.000000479999827,normal_range_prior,high_frequency_dynamic_simulation
iwa_bsm1_dynamic_influent,DO,influent,2690,2,0.0,0.0,0.0,15.000000479999827,normal_range_prior,high_frequency_dynamic_simulation
iwa_bsm1_dynamic_influent,FLOW,influent,2690,2,828.5095182775711,478.4166666666667,1496.4791666666654,15.000000479999827,high_range_prior,high_frequency_dynamic_simulation
iwa_bsm1_dynamic_influent,NH3N,influent,2690,2,29.044757505576207,16.914026500000002,43.39692,15.000000479999827,normal_range_prior,high_frequency_dynamic_simulation
iwa_bsm1_dynamic_influent,TN,influent,2690,2,44.90704788475836,27.1723295,65.08729,15.000000479999827,normal_range_prior,high_frequency_dynamic_simulation
local_plant,COD,effluent,4508,1,8.137434024179237,5.51467,10.975759999999985,60.0,normal_range_prior,train_validate_test
local_plant,COD,influent,4502,1,112.81526745313194,56.21938415,199.254303,60.0,normal_range_prior,train_validate_test
local_plant,DO,reactor,4493,1,4.742663034052971,2.4020000000000006,6.878499999999999,60.0,normal_range_prior,train_validate_test
local_plant,FLOW,effluent,4508,1,1396.427576189663,800.8971224000002,2212.0965213,60.0,normal_range_prior,train_validate_test
local_plant,FLOW,influent,4507,1,1511.5397274850234,1139.1903687000001,2074.6385744,60.0,normal_range_prior,train_validate_test
local_plant,MLSS,reactor,4505,1,6821.266919897003,5771.25,7627.500488,60.0,normal_range_prior,train_validate_test
local_plant,NH3N,effluent,4457,1,0.22703163562934708,0.05,0.77,60.0,high_range_prior,train_validate_test
local_plant,NH3N,influent,4464,1,17.93074150246416,12.21,24.0,60.0,normal_range_prior,train_validate_test
local_plant,TEMP,effluent,4477,1,27.339602452758545,25.200001,29.5,60.0,normal_range_prior,train_validate_test
local_plant,TN,effluent,4508,1,4.019280896406388,1.77631,6.307379999999999,60.0,normal_range_prior,train_validate_test
local_plant,TN,influent,4508,1,27.592100101375333,22.024611,34.154411,60.0,normal_range_prior,train_validate_test
local_plant,TP,effluent,4481,1,0.015635440749832627,0.00201,0.02701,60.0,normal_range_prior,train_validate_test
local_plant,TP,influent,4508,1,0.5058394365572316,0.008345000000000002,2.34981,60.0,high_range_prior,train_validate_test
local_plant,pH,effluent,4478,1,6.927329164805717,6.3585,7.32,60.0,normal_range_prior,train_validate_test
us_wqp,pH,ambient_or_effluent,5,5,6.9799999999999995,6.0200000000000005,7.996,1440.0,normal_range_prior,external_domain_generalization_check
