timestamp,source_domain,scenario_variant,shock_active,control_cadence_min,decision_refreshed,decision_reason,decision_ms,influent_flow_m3h,influent_nh3n_mgL,influent_tp_mgL,reactor_do_mgL,target_aeration_intensity_pct,actual_aeration_intensity_pct,target_chemical_dose_pac_mgL,actual_chemical_dose_pac_mgL,chemical_dose_kgph,objective,reward,effluent_risk,constraint_violation,is_feasible,pred_effluent_cod_mgL,effluent_cod_mgL_limit,pred_effluent_nh3n_mgL,effluent_nh3n_mgL_limit,pred_effluent_tp_mgL,effluent_tp_mgL_limit,pred_effluent_tn_mgL,effluent_tn_mgL_limit,predicted_compliant
2021-08-01 00:00:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.5773000195622444,1260.223,0.45,0.09,0.05,39.257423111,47.257423111,2.1369899639999996,6.136989964,7.733975903401972,0.2455679867485335,-0.2455679867485335,0.06599660929220015,0.0,True,5.9373733638815445,50.0,0.2387637340876945,5.0,0.0102,0.5,1.0088,15.0,True
2021-08-01 00:02:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.5118999872356653,750.6,0.4,0.11,0.05,35.257423111,43.257423111,2.0,4.757993309333333,3.5713497779855996,0.21985338190101147,-0.21985338190101147,0.06063665326956701,0.0,True,5.052,50.0,0.23844395410969674,5.0,0.010137899665466668,0.5,1.0088,15.0,True
2021-08-01 00:04:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.0871000015176833,985.699,0.4,0.11,0.05,31.257423111,39.257423111,2.0,3.838662206222222,3.783765498011038,0.2046820885848242,-0.2046820885848242,0.06305795749730568,0.0,True,5.459228029035554,50.0,0.23844395410969674,5.0,0.010091933110311112,0.5,1.0088,15.0,True
2021-08-01 00:06:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.9362999591976404,1410.721,0.2,0.09,0.05,27.257423111,35.257423111,2.0,3.2257748041481484,4.5506682574826804,0.19335571354386014,-0.19335571354386014,0.06745998081895893,0.0,True,6.199499504414437,50.0,0.2371648341977055,5.0,0.010061288740207409,0.5,1.012694540175103,15.0,True
2021-08-01 00:08:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.4875999768264592,1129.143,0.2,0.09,0.064,23.257423111,31.257423111,2.0,2.8171832027654324,3.1810026931201687,0.17586080034170898,-0.17586080034170898,0.06445066652521926,0.0,True,5.707370568880231,50.0,0.2371648341977055,5.0,0.010040859160138272,0.5,1.0088,15.0,True
2021-08-01 00:10:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.1388999884948134,1244.319,0.2,0.09,0.574,19.257423111,27.257423111,2.0,2.5447888018436218,3.1665290571212537,0.15787484176781438,-0.15787484176781438,0.06012177389026569,0.0,True,5.846139016268078,50.0,0.14511187252523164,5.0,0.010027239440092182,0.5,1.0088,15.0,True
2021-08-01 00:12:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.6873999848030508,1435.348,0.13,0.07,0.846,15.257423111000001,23.257423111,2.0,2.3631925345624145,3.3920036780990928,0.14394947573543185,-0.14394947573543185,0.059301118483843826,0.0,True,6.145879559868459,50.0,0.0984200804250638,5.0,0.010018159626728121,0.5,1.0088,15.0,True
2021-08-01 00:14:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.60910002887249,1460.624,0.13,0.07,1.208,11.257423111000001,19.257423111,2.0,2.242128356374943,3.2749064884017947,0.12957320907589095,-0.12957320907589095,0.05766132557494339,0.0,True,6.146011626897,50.0,0.06917579880372143,5.0,0.010012106417818746,0.5,1.0088,15.0,True
2021-08-01 00:16:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.5060000005178154,1001.226,0.32,0.08,1.398,10.0,16.171615407333334,2.0,2.161418904249962,2.1640688038265723,0.11407960107908338,-0.11407960107908338,0.0521446712636461,0.0,True,5.310307881765679,50.0,0.060669367785236294,5.0,0.010008070945212498,0.5,1.0067887769480666,15.0,True
2021-08-01 00:18:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.4762000064365566,1105.194,0.32,0.08,0.845,10.0,14.114410271555556,2.0,2.1076126028333078,2.329320802975755,0.11079632316287008,-0.11079632316287008,0.055617481063689675,0.0,True,5.543112533923894,50.0,0.09824844539453176,5.0,0.010005380630141666,0.5,1.0045258512987112,15.0,True
2021-08-01 00:20:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.168700040783733,1149.658,0.32,0.08,0.05,10.0,12.742940181037037,2.0,2.071741735222205,2.3817944598320895,0.11480108058245601,-0.11480108058245601,0.06412629696078019,0.0,True,5.705942661050204,50.0,0.23308414968649888,5.0,0.01000358708676111,0.5,1.0030172341991408,15.0,True
2021-08-01 00:22:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.4869000297039747,1206.134,0.5,0.12,0.05,10.0,11.828626787358024,2.0,2.04782782348147,2.469954764046999,0.11234639819402008,-0.11234639819402008,0.06467432022401398,0.0,True,5.796769254899654,50.0,0.23336462416534606,5.0,0.010002391391174073,0.5,1.0020114894660939,15.0,True
2021-08-01 00:24:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.512099988758564,1177.041,0.5,0.12,0.05,10.0,11.21908452490535,2.0,2.0318852156543135,2.3916122061189684,0.1099756596991758,-0.1099756596991758,0.06430538549694952,0.0,True,5.741956837919325,50.0,0.23279977336659127,5.0,0.010001594260782716,0.5,1.001340992977396,15.0,True
2021-08-01 00:26:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.7865000409074128,1190.64,0.34,0.11,0.05,10.0,10.812723016603567,2.0,2.021256810436209,2.406589208777768,0.10868133795814651,-0.10868133795814651,0.06434559960110676,0.0,True,5.762395024846281,50.0,0.2314284168707043,5.0,0.01000106284052181,0.5,1.0008939953182638,15.0,True
2021-08-01 00:28:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.539899967610836,943.634,0.34,0.11,0.05,10.0,10.541815344402378,2.0,2.0141712069574726,1.9006404327061077,0.1052052099502029,-0.1052052099502029,0.06175916215662084,0.0,True,5.334279512935429,50.0,0.2311784465624138,5.0,0.010000708560347873,0.5,1.0005959968788427,15.0,True
2021-08-01 00:30:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,1.879699993878603,952.981,0.34,0.11,0.05,10.0,10.361210229601586,2.0,2.009447471304982,1.914965260651693,0.10468946352089704,-0.10468946352089704,0.06183654276962011,0.0,True,5.349147878770954,50.0,0.23101179969022007,5.0,0.01000047237356525,0.5,1.0003973312525618,15.0,True
2021-08-01 00:32:00,agtrup_bluekolding_2min,native_2min,False,2,True,safe_grid_refresh,2.048599999397993,920.924,0.2,0.09,0.735,10.0,10.24080681973439,2.0,2.0062983142033213,1.8476482687093794,0.09669626732460963,-0.09669626732460963,0.05423876460153613,0.0,True,5.210808188712799,50.0,0.11018902963746366,5.0,0.010000314915710167,0.5,1.0002648875017077,15.0,True
